project_id,project_name,ministry,city,budget_usd,start_date,end_date,status,lead_official
PJ01,Erbil Smart Traffic System,MOT,Erbil,12500000,2023-01-01,2025-06-30,active,Hawkar Salam Qadir
PJ02,KRG Digital Health Records,MOH,Erbil,8200000,2023-06-01,2025-12-31,active,Dr. Saman Kamaran Aziz
PJ03,Sulaymaniyah Water Network Upgrade,MOP,Sulaymaniyah,22000000,2022-03-01,2024-09-30,delayed,Dr. Narin Fuad Karim
PJ04,KRG E-Learning Platform,MOE,Erbil,5800000,2023-09-01,2024-08-31,active,Dr. Alan Sherzad Tahir
PJ05,Duhok Airport Expansion,MOT,Duhok,45000000,2022-01-01,2026-12-31,active,Hawkar Salam Qadir
PJ06,KRG Tax Digitalisation,MOF,Erbil,3200000,2024-01-01,2024-12-31,active,Dr. Dilan Jalal Nasser
PJ07,Halabja Memorial Cultural Centre,MOE,Halabja,18000000,2023-03-15,2025-03-14,active,Dr. Alan Sherzad Tahir
PJ08,Zakho Border Crossing Modernisation,MOI,Zakho,9500000,2023-07-01,2025-01-31,active,Gen. Bestun Faris Tahir
PJ09,KRG Renewable Energy Initiative,MOP,Erbil,35000000,2022-06-01,2027-05-31,active,Dr. Narin Fuad Karim
PJ10,Sulaymaniyah Smart Schools,MOE,Sulaymaniyah,14000000,2023-09-01,2025-08-31,active,Dr. Alan Sherzad Tahir
PJ011,Erbil Integrated Education Project 11,M704,Erbil,112844306,2022-12-28,2025-12-04,active,Eng. Fuad Jalal Othman
PJ012,Erbil National Education Project 12,M237,Erbil,23784699,2023-12-11,2025-01-13,planned,Gen. Layla Bakr Nuri
PJ013,Halabja Regional Security Project 13,M323,Halabja,24435122,2022-06-24,2026-11-23,delayed,Dr. Sardar Saeed Hassan
PJ014,Zakho Regional Energy Project 14,M354,Zakho,56753484,2024-12-23,2026-07-29,active,Dr. Farhad Jamal Kadir
PJ015,Sulaymaniyah National Energy Project 15,M131,Sulaymaniyah,20931610,2022-02-05,2024-05-31,completed,Eng. Sardar Fuad Othman
PJ016,Zakho Smart Health Project 16,M142,Zakho,73402858,2022-04-10,2022-12-29,active,Dr. Zeynep Mustafa Tahir
PJ017,Sulaymaniyah Regional Energy Project 17,M910,Sulaymaniyah,71453963,2023-05-16,2023-12-15,active,Eng. Randa Jamal Taha
PJ018,Erbil Digital Health Project 18,M957,Erbil,19281265,2025-07-13,2026-10-26,completed,Gen. Salih Farid Salih
PJ019,Sulaymaniyah Integrated Education Project 19,M641,Sulaymaniyah,111624407,2025-10-29,2028-08-24,active,Gen. Naz Barzan Ali
PJ020,Erbil National Transport Project 20,M062,Erbil,45638710,2022-03-06,2025-02-25,delayed,Dr. Saman Farid Kadir
PJ021,Erbil Smart Infrastructure Project 21,M930,Erbil,80065554,2023-12-14,2028-05-22,active,Eng. Zeynep Farid Kadir
PJ022,Halabja Regional Health Project 22,M069,Halabja,44158881,2025-07-11,2030-01-28,active,Eng. Fuad Dara Ahmad
PJ023,Duhok Smart Health Project 23,M523,Duhok,113353335,2025-07-09,2026-09-14,completed,Eng. Mazin Ihsan Hama
PJ024,Duhok Digital Water Project 24,M024,Duhok,8999025,2022-08-08,2024-01-09,active,Eng. Rebaz Salam Karimi
PJ025,Sulaymaniyah Integrated Infrastructure Project 25,M117,Sulaymaniyah,70967130,2024-10-28,2027-11-15,delayed,Gen. Yara Barzan Hasan
PJ026,Zakho Public Infrastructure Project 26,M405,Zakho,80057775,2022-03-27,2023-10-27,planned,Gen. Wrya Rizgar Qadir
PJ027,Halabja Public Health Project 27,M253,Halabja,39151342,2022-01-17,2024-12-30,delayed,Dr. Rebaz Mohammed Hama
PJ028,Erbil Smart Transport Project 28,M505,Erbil,50643702,2025-05-14,2026-05-19,active,Gen. Jalal Farid Othman
PJ029,Erbil National Culture Project 29,M311,Erbil,68335320,2023-06-08,2026-01-24,active,Gen. Jalal Jamal Karimi
PJ030,Zakho Regional Health Project 30,M807,Zakho,6654768,2023-10-14,2028-06-28,completed,Gen. Rozhan Omar Karim
PJ031,Sulaymaniyah National Energy Project 31,M569,Sulaymaniyah,46541542,2023-08-29,2027-03-05,active,Eng. Dashni Aziz Aziz
PJ032,Sulaymaniyah Digital Housing Project 32,M837,Sulaymaniyah,100998155,2024-08-15,2026-12-30,delayed,Gen. Nawzad Latif Ahmad
PJ033,Zakho National Infrastructure Project 33,M309,Zakho,48508073,2025-06-11,2029-05-25,delayed,Gen. Rozhan Aryan Omar
PJ034,Sulaymaniyah National Transport Project 34,M784,Sulaymaniyah,64951210,2025-10-30,2027-05-28,completed,Dr. Hawkar Mustafa Faris
PJ035,Halabja Public Energy Project 35,M014,Halabja,48788285,2022-05-24,2025-08-07,planned,Dr. Jalal Rizgar Aziz
PJ036,Zakho National Water Project 36,M197,Zakho,71793373,2023-07-08,2024-03-15,completed,Dr. Layla Latif Aziz
PJ037,Halabja Public Water Project 37,M519,Halabja,48007391,2022-05-30,2023-06-19,planned,Gen. Nawzad Mustafa Said
PJ038,Erbil Regional Security Project 38,M487,Erbil,49431842,2024-08-22,2025-04-06,planned,Dr. Dara Raber Othman
PJ039,Zakho Smart Infrastructure Project 39,M437,Zakho,115206162,2022-09-27,2025-10-26,planned,Eng. Pishtiwan Jamal Othman
PJ040,Erbil Smart Energy Project 40,M106,Erbil,3813830,2023-08-07,2025-01-21,planned,Dr. Layla Jalal Hasan
PJ041,Duhok Regional Culture Project 41,M212,Duhok,20320118,2023-04-25,2026-12-15,active,Eng. Rozhan Fuad Taha
PJ042,Halabja Smart Infrastructure Project 42,M330,Halabja,97791448,2024-08-14,2028-02-13,planned,Gen. Kamaran Rizgar Mustafa
PJ043,Halabja Regional Infrastructure Project 43,M954,Halabja,9334476,2024-02-26,2025-04-19,completed,Dr. Nawzad Jamal Ahmad
PJ044,Duhok Integrated Infrastructure Project 44,M252,Duhok,101188417,2024-08-13,2026-12-11,planned,Dr. Saman Jamal Tahir
PJ045,Halabja Integrated Transport Project 45,M305,Halabja,32806594,2022-07-23,2024-07-01,completed,Eng. Dilan Barzan Salih
PJ046,Zakho Regional Housing Project 46,M288,Zakho,24427953,2025-05-18,2026-10-24,planned,Gen. Dilan Jalal Kadir
PJ047,Sulaymaniyah Smart Culture Project 47,M790,Sulaymaniyah,15433707,2025-05-07,2027-10-08,delayed,Dr. Vian Karim Hasan
PJ048,Sulaymaniyah National Transport Project 48,M548,Sulaymaniyah,11662473,2023-01-22,2025-02-12,completed,Eng. Layla Nawzad Karimi
PJ049,Duhok National Education Project 49,M938,Duhok,63028827,2023-01-05,2026-09-21,planned,Dr. Fuad Raber Karim
PJ050,Zakho Integrated Culture Project 50,M483,Zakho,83872788,2022-07-02,2024-01-22,planned,Dr. Rozhan Salam Ahmad
PJ051,Zakho Smart Energy Project 51,M121,Zakho,15013159,2022-02-17,2022-12-13,active,Dr. Rozhan Saber Karimi
PJ052,Zakho Smart Culture Project 52,M249,Zakho,64289774,2024-10-24,2027-10-20,planned,Dr. Salih Mustafa Hama
PJ053,Halabja Digital Energy Project 53,M682,Halabja,8842793,2025-08-05,2029-05-01,active,Eng. Wrya Sherzad Ahmad
PJ054,Zakho Integrated Culture Project 54,M945,Zakho,41104152,2024-08-24,2025-12-05,active,Dr. Chnar Aziz Said
PJ055,Erbil Smart Housing Project 55,M836,Erbil,26095772,2025-05-26,2029-06-27,completed,Dr. Fuad Raber Hassan
PJ056,Halabja National Housing Project 56,M027,Halabja,90476652,2023-07-11,2026-04-22,planned,Dr. Wrya Ihsan Said
PJ057,Duhok Public Infrastructure Project 57,MOT,Duhok,108912431,2022-01-04,2024-11-01,delayed,Eng. Hawkar Salam Qadir
PJ058,Duhok Digital Culture Project 58,M835,Duhok,70912071,2024-01-28,2028-09-06,planned,Dr. Kamaran Nawzad Mustafa
PJ059,Zakho Integrated Infrastructure Project 59,M203,Zakho,60314391,2025-07-31,2029-03-16,active,Dr. Pishtiwan Fuad Aziz
PJ060,Erbil Digital Transport Project 60,M270,Erbil,111341865,2025-04-05,2025-11-25,active,Eng. Fuad Fuad Taha
PJ061,Erbil Digital Energy Project 61,M421,Erbil,67892183,2024-10-12,2027-10-14,planned,Dr. Salih Raber Hasan
PJ062,Sulaymaniyah Smart Water Project 62,M780,Sulaymaniyah,31110540,2022-03-07,2025-11-09,delayed,Eng. Rami Barzan Mustafa
PJ063,Erbil Public Education Project 63,M779,Erbil,45253000,2022-08-26,2026-12-05,active,Dr. Narin Saber Karimi
PJ064,Halabja Regional Infrastructure Project 64,M869,Halabja,35678432,2024-05-25,2026-06-21,completed,Eng. Mazin Farhad Mahmoud
PJ065,Duhok Digital Health Project 65,M759,Duhok,34346008,2022-04-04,2023-09-15,planned,Gen. Tara Jamal Tahir
PJ066,Duhok Regional Health Project 66,M994,Duhok,115763557,2025-12-23,2027-12-27,completed,Gen. Chnar Hama Ahmad
PJ067,Zakho Digital Security Project 67,M935,Zakho,14299527,2024-01-04,2024-10-16,completed,Eng. Chnar Raber Kadir
PJ068,Erbil Integrated Culture Project 68,M990,Erbil,70111405,2022-01-22,2025-04-07,delayed,Gen. Mazin Jamal Faris
PJ069,Halabja Public Education Project 69,M913,Halabja,111934249,2022-11-02,2025-10-10,active,Gen. Baran Raber Nuri
PJ070,Sulaymaniyah National Health Project 70,M084,Sulaymaniyah,43776318,2022-03-12,2023-06-30,delayed,Eng. Rozhan Ihsan Tahir
PJ071,Sulaymaniyah National Housing Project 71,M415,Sulaymaniyah,92972869,2022-04-09,2025-06-22,planned,Gen. Dara Omar Mahmoud
PJ072,Duhok Integrated Security Project 72,M587,Duhok,14955841,2025-12-29,2029-03-31,planned,Gen. Dilan Rebaz Mahmoud
PJ073,Halabja Integrated Infrastructure Project 73,M907,Halabja,109312289,2024-07-07,2025-10-18,active,Eng. Helin Kamaran Karim
PJ074,Halabja Regional Water Project 74,M447,Halabja,106815260,2024-08-12,2026-06-24,planned,Dr. Zhyan Hama Faris
PJ075,Halabja National Education Project 75,M822,Halabja,115300119,2023-06-19,2027-04-06,delayed,Gen. Narin Hama Faris
PJ076,Duhok Smart Culture Project 76,M123,Duhok,11525909,2022-08-10,2023-09-19,planned,Eng. Rami Nawzad Karim
PJ077,Sulaymaniyah Integrated Security Project 77,M525,Sulaymaniyah,10520606,2022-06-10,2024-03-18,active,Gen. Karwan Rebaz Mustafa
PJ078,Sulaymaniyah Regional Housing Project 78,M606,Sulaymaniyah,97528762,2025-11-19,2030-09-12,active,Gen. Zhyan Nawzad Othman
PJ079,Zakho Public Health Project 79,M496,Zakho,71574844,2024-01-09,2027-05-11,delayed,Dr. Randa Farhad Hama
PJ080,Zakho Regional Health Project 80,M823,Zakho,88250911,2024-02-13,2024-09-24,planned,Dr. Dashni Nawzad Kadir
PJ081,Sulaymaniyah National Infrastructure Project 81,M080,Sulaymaniyah,61498017,2023-12-29,2026-05-25,completed,Eng. Saman Rebaz Karim
PJ082,Duhok Public Health Project 82,M554,Duhok,108748162,2025-03-20,2026-10-21,planned,Gen. Shilan Omar Nuri
PJ083,Halabja Integrated Infrastructure Project 83,M980,Halabja,106241901,2022-11-23,2025-09-26,delayed,Gen. Mazin Jalal Said
PJ084,Duhok Integrated Infrastructure Project 84,M277,Duhok,25573740,2023-09-21,2025-05-17,completed,Dr. Rozhan Ihsan Hassan
PJ085,Duhok Smart Infrastructure Project 85,M705,Duhok,69614943,2025-04-30,2029-02-25,planned,Eng. Baran Ihsan Faris
PJ086,Erbil Regional Housing Project 86,M464,Erbil,98678925,2024-09-27,2026-12-28,delayed,Eng. Dashni Ihsan Mustafa
PJ087,Zakho Digital Culture Project 87,M321,Zakho,10197910,2025-04-06,2025-10-05,planned,Eng. Alan Barzan Mahmoud
PJ088,Halabja Smart Infrastructure Project 88,M779,Halabja,63772121,2023-02-18,2024-07-12,delayed,Dr. Narin Saber Karimi
PJ089,Zakho Digital Security Project 89,M567,Zakho,1448477,2023-11-05,2025-12-17,active,Dr. Zhyan Latif Mustafa
PJ090,Sulaymaniyah Public Education Project 90,M126,Sulaymaniyah,71469336,2024-03-17,2028-01-14,planned,Gen. Fuad Omar Rashid
PJ091,Sulaymaniyah Public Security Project 91,M664,Sulaymaniyah,55691115,2022-10-01,2024-09-16,active,Eng. Helin Farhad Othman
PJ092,Halabja Integrated Culture Project 92,M977,Halabja,67362339,2025-10-22,2027-07-12,planned,Dr. Kavar Fuad Kadir
PJ093,Zakho Digital Health Project 93,M660,Zakho,3989272,2022-03-31,2023-04-12,planned,Gen. Pishtiwan Aziz Ahmad
PJ094,Duhok Smart Health Project 94,M135,Duhok,43148593,2024-01-15,2025-08-21,planned,Dr. Yara Mustafa Tahir
PJ095,Halabja Regional Water Project 95,M109,Halabja,19046046,2022-10-13,2027-08-09,delayed,Gen. Pishtiwan Salam Said
PJ096,Zakho Smart Housing Project 96,M888,Zakho,72150845,2022-08-28,2027-01-10,completed,Eng. Naz Aryan Saeed
PJ097,Zakho Regional Water Project 97,M420,Zakho,73710414,2024-06-12,2026-12-10,completed,Dr. Pishtiwan Mustafa Faris
PJ098,Duhok National Health Project 98,M034,Duhok,87508229,2023-01-12,2027-02-03,active,Dr. Layla Fuad Nasser
PJ099,Zakho Regional Energy Project 99,M221,Zakho,57949388,2023-07-01,2027-04-05,completed,Eng. Rozhan Barzan Tahir
PJ100,Zakho Digital Health Project 100,M372,Zakho,95323765,2024-10-12,2025-09-07,delayed,Eng. Helin Saber Aziz
PJ101,Halabja Regional Housing Project 101,M307,Halabja,86890440,2025-02-05,2029-09-04,completed,Gen. Rozhan Ihsan Hasan
PJ102,Duhok National Education Project 102,M077,Duhok,17268183,2023-12-22,2027-02-15,delayed,Eng. Karwan Jamal Tahir
