hospital_id,name,city,type,beds,specialities,director
H001,Rizgary Hospital,Erbil,Public,320,"General, Cardiology, Oncology",Dr. Omar Hasan Aziz
H002,Erbil Private Hospital,Erbil,Private,180,"General, Orthopaedics, Neurology",Dr. Naz Kadir Salih
H003,Sulaimani Teaching Hospital,Sulaymaniyah,Teaching,500,"All specialities, Research",Dr. Karwan Rashid Hama
H004,Hiwa Cancer Hospital,Sulaymaniyah,Specialist,150,"Oncology, Haematology",Dr. Shilan Azad Tahir
H005,Azadi Hospital,Duhok,Public,280,"General, Paediatrics, Surgery",Dr. Bestun Faris Qadir
H006,Zakho General Hospital,Zakho,Public,160,"General, Emergency",Dr. Dilan Saeed Nuri
H007,Halabja Hospital,Halabja,Public,110,"General, Mental Health",Dr. Rozhan Kamaran Said
H008,Kurdistan Cardiac Centre,Erbil,Specialist,90,"Cardiology, Cardiac Surgery",Dr. Saman Jalal Omar
H009,Erbil General Hospital 9,Erbil,Teaching,222,"Cardiology, Mental Health, Neurology, Cardiac Surgery",Dr. Rozhan Saeed Said
H010,Duhok Teaching Hospital 10,Duhok,Private,426,"Mental Health, General, Oncology, Neurology",Dr. Layla Kamaran Qadir
H011,Duhok Medical Hospital 11,Duhok,Public,577,"Research, Cardiac Surgery, Cardiology",Dr. Bestun Rizgar Mustafa
H012,Duhok Medical Hospital 12,Duhok,Teaching,155,"General, Emergency, Endocrinology",Dr. Saman Fuad Tahir
H013,Sulaymaniyah Community Hospital 13,Sulaymaniyah,Specialist,89,"Emergency, Cardiac Surgery, Cardiology, Orthopaedics",Dr. Tara Dara Hama
H014,Sulaymaniyah Specialist Hospital 14,Sulaymaniyah,Public,570,"Cardiology, Mental Health, Endocrinology",Dr. Dara Jamal Mustafa
H015,Erbil General Hospital 15,Erbil,Teaching,235,"Orthopaedics, Research, Haematology, Endocrinology",Dr. Kamaran Aryan Saeed
H016,Erbil Private Hospital 16,Erbil,Specialist,440,"Orthopaedics, Paediatrics",Dr. Bestun Aryan Othman
H017,Zakho Community Hospital 17,Zakho,Teaching,289,"Endocrinology, Oncology",Dr. Lana Raber Mahmoud
H018,Erbil Community Hospital 18,Erbil,Private,673,"Cardiology, Nephrology, Mental Health",Dr. Sardar Sherzad Nuri
H019,Duhok Teaching Hospital 19,Duhok,Teaching,52,"Mental Health, Nephrology, Oncology",Dr. Yara Nawzad Othman
H020,Sulaymaniyah Community Hospital 20,Sulaymaniyah,Private,357,"Orthopaedics, Neurology, Haematology, Nephrology",Dr. Salih Raber Qadir
H021,Sulaymaniyah Teaching Hospital 21,Sulaymaniyah,Public,589,"Orthopaedics, Paediatrics, Research",Dr. Yara Nawzad Qadir
H022,Duhok Private Hospital 22,Duhok,Teaching,344,"Surgery, Haematology",Dr. Dara Dara Nuri
H023,Halabja Teaching Hospital 23,Halabja,Teaching,401,"Emergency, Oncology, Surgery",Dr. Sardar Rebaz Kadir
H024,Sulaymaniyah Specialist Hospital 24,Sulaymaniyah,Private,622,"Emergency, Research",Dr. Salih Mustafa Qadir
H025,Duhok Community Hospital 25,Duhok,Private,632,"Paediatrics, Mental Health, General",Dr. Bestun Mustafa Qadir
H026,Zakho Specialist Hospital 26,Zakho,Public,531,"Orthopaedics, Research, Emergency",Dr. Zeynep Hama Karimi
H027,Duhok Medical Hospital 27,Duhok,Private,54,"Endocrinology, Surgery",Dr. Zhyan Saeed Hasan
H028,Halabja Specialist Hospital 28,Halabja,Specialist,267,"Oncology, Surgery, Endocrinology",Dr. Pishtiwan Dara Qadir
H029,Zakho Private Hospital 29,Zakho,Specialist,653,"Surgery, Haematology, Endocrinology",Dr. Jalal Sherzad Hasan
H030,Duhok Medical Hospital 30,Duhok,Public,518,"Haematology, Cardiac Surgery",Dr. Sardar Nawzad Hasan
H031,Erbil General Hospital 31,Erbil,Public,76,"Emergency, Paediatrics, Cardiology",Dr. Kavar Mustafa Aziz
H032,Duhok Private Hospital 32,Duhok,Specialist,417,"Cardiology, Research, Haematology",Dr. Alan Nawzad Ali
H033,Erbil Private Hospital 33,Erbil,Specialist,70,"Cardiology, Surgery, Cardiac Surgery",Dr. Hawkar Jamal Karim
H034,Duhok Specialist Hospital 34,Duhok,Teaching,262,"Cardiac Surgery, Mental Health, Oncology, Orthopaedics",Dr. Xezal Sherzad Hama
H035,Zakho Community Hospital 35,Zakho,Public,393,"Research, General, Neurology, Nephrology",Dr. Alan Nawzad Ahmad
H036,Halabja Teaching Hospital 36,Halabja,Private,320,"Research, Neurology, General",Dr. Dara Mustafa Said
H037,Zakho General Hospital 37,Zakho,Private,389,"Nephrology, Cardiac Surgery, Surgery",Dr. Chnar Jalal Salih
H038,Erbil Teaching Hospital 38,Erbil,Teaching,552,"General, Mental Health, Orthopaedics",Dr. Bestun Karim Saeed
H039,Zakho Specialist Hospital 39,Zakho,Private,579,"Endocrinology, Cardiology, Mental Health, Haematology",Dr. Rozhan Aryan Nuri
H040,Zakho Community Hospital 40,Zakho,Private,380,"Mental Health, Haematology",Dr. Fuad Barzan Nuri
H041,Erbil Private Hospital 41,Erbil,Public,194,"General, Endocrinology",Dr. Chnar Raber Hasan
H042,Zakho Community Hospital 42,Zakho,Private,51,"Cardiology, Endocrinology, Emergency",Dr. Rozhan Farhad Aziz
H043,Duhok Teaching Hospital 43,Duhok,Specialist,536,"Paediatrics, Nephrology, Research, Surgery",Dr. Dilan Salam Mahmoud
H044,Duhok Medical Hospital 44,Duhok,Specialist,270,"General, Orthopaedics",Dr. Narin Dara Othman
H045,Duhok Teaching Hospital 45,Duhok,Specialist,300,"Emergency, Neurology, Haematology, Surgery",Dr. Lana Jalal Said
H046,Erbil Private Hospital 46,Erbil,Teaching,500,"Orthopaedics, Nephrology",Dr. Alan Omar Karim
H047,Erbil Medical Hospital 47,Erbil,Specialist,358,"Nephrology, Cardiology",Dr. Pishtiwan Barzan Faris
H048,Zakho Medical Hospital 48,Zakho,Private,447,"Mental Health, Haematology",Dr. Mazin Jamal Faris
H049,Halabja Specialist Hospital 49,Halabja,Specialist,557,"General, Surgery, Emergency, Endocrinology",Dr. Narin Mustafa Karim
H050,Duhok Community Hospital 50,Duhok,Private,342,"Mental Health, Neurology, Nephrology",Dr. Fuad Kamaran Ali
H051,Sulaymaniyah Community Hospital 51,Sulaymaniyah,Specialist,309,"Nephrology, Orthopaedics, Paediatrics",Dr. Sardar Saeed Nuri
