company_id,company_name,city,sector,founded,employees,annual_revenue_usd,ceo
CO01,Korek Telecom,Erbil,Telecommunications,2000,1800,420000000,Sirwan Barzani
CO02,Fastlink Kurdistan,Sulaymaniyah,Telecommunications,2003,1200,310000000,Nawzad Hadi
CO03,Erbil Construction Group,Erbil,Construction,1995,650,85000000,Karwan Aziz Hama
CO04,Duhok Food Industries,Duhok,Food & Beverage,2001,420,32000000,Bestun Faris Tahir
CO05,Kurdistan Tech Solutions,Erbil,Technology,2015,180,12500000,Zhyan Omar Salih
CO06,Sulaymaniyah Medical Labs,Sulaymaniyah,Healthcare,2010,210,18000000,Dr. Shilan Saeed Azad
CO07,Halabja Agri Products,Halabja,Agriculture,2008,340,9800000,Hawkar Salam Qadir
CO08,Zakho Logistics,Zakho,Transport & Logistics,2012,290,22000000,Dilan Jalal Omar
CO09,Erbil Media Group,Erbil,Media,2006,130,7500000,Naz Kadir Rashid
CO10,KRG Smart Energy,Erbil,Energy,2018,95,14200000,Saman Kamaran Aziz
CO11,Sulaimani Real Estate,Sulaymaniyah,Real Estate,2005,160,35000000,Vian Nawzad Hasan
CO12,Kurdistan Airlines,Erbil,Aviation,2009,820,95000000,Alan Sherzad Tahir
CO13,Duhok Steel Factory,Duhok,Manufacturing,1998,480,28000000,Pishtiwan Soran Rashid
CO14,Erbil International Hotel,Erbil,Hospitality,2011,350,18500000,Rozhan Latif Aziz
CO15,Kurdistan Pharma,Sulaymaniyah,Pharmaceuticals,2014,220,21000000,Tara Raber Karim
CO016,Halabja Hospitality Solutions,Halabja,Hospitality,2017,2927,241447494,Aryan Fuad Faris
CO017,Halabja Energy Industries,Halabja,Energy,2007,4042,115000155,Alan Dara Hasan
CO018,Erbil Consulting Solutions,Erbil,Consulting,2014,1601,460912576,Nawzad Hama Hassan
CO019,Zakho Agriculture Labs,Zakho,Agriculture,2001,2840,39735283,Hawkar Jamal Qadir
CO020,Erbil Manufacturing Holdings,Erbil,Manufacturing,2020,4363,67548814,Aryan Sherzad Aziz
CO021,Sulaymaniyah Transport Logistics Group,Sulaymaniyah,Transport & Logistics,2020,397,23693301,Salih Omar Taha
CO022,Sulaymaniyah Real Estate Center,Sulaymaniyah,Real Estate,1991,1178,224875474,Aryan Dara Nuri
CO023,Sulaymaniyah Pharmaceuticals Center,Sulaymaniyah,Pharmaceuticals,2001,2303,303158093,Hawkar Raber Hassan
CO024,Erbil Hospitality Center,Erbil,Hospitality,2012,985,127683937,Dara Aryan Salih
