property_id,type,city,district,area_m2,bedrooms,listed_price_usd,status,listed_date
R001,Apartment,Erbil,Ankawa,120,3,185000,for_sale,2024-01-05
R002,Villa,Erbil,Gulan Street,380,5,650000,for_sale,2024-01-18
R003,Apartment,Sulaymaniyah,Salim Street,95,2,120000,for_rent,2024-02-02
R004,Office,Erbil,Citadel Area,200,0,280000,for_sale,2024-01-30
R005,House,Duhok,Zawita Road,210,4,175000,for_sale,2024-02-10
R006,Apartment,Sulaymaniyah,Italian Village,145,3,195000,for_sale,2024-01-22
R007,Shop,Zakho,City Centre,60,0,55000,for_rent,2024-02-15
R008,Villa,Erbil,Dream City,480,6,920000,for_sale,2024-01-10
R009,Apartment,Halabja,Bazaar Area,105,3,85000,for_sale,2024-03-01
R010,Land,Duhok,Industrial Zone,1200,0,210000,for_sale,2024-02-20
R011,Office,Sulaymaniyah,Bakhtiary,180,0,240000,for_sale,2024-01-28
R012,Apartment,Erbil,Ainkawa,135,3,170000,for_rent,2024-03-05
R013,House,Zakho,Bekhma Road,185,4,130000,for_sale,2024-02-08
R014,Shop,Erbil,Empire World,85,0,95000,for_sale,2024-01-15
R015,Villa,Sulaymaniyah,Raparin,420,5,780000,for_sale,2024-02-25
R016,Apartment,Duhok,Gir Area,110,2,105000,for_sale,2024-03-10
R017,Office,Erbil,Erbil Tower,260,0,380000,for_rent,2024-01-25
R018,Apartment,Halabja,Shahid Area,90,2,72000,for_sale,2024-02-12
R019,House,Sulaymaniyah,Sarchinar,240,4,220000,for_sale,2024-03-08
R020,Land,Erbil,North Ring Road,2500,0,550000,for_sale,2024-01-20
R021,Land,Duhok,Zawita Road,1105,0,20840,for_rent,2024-08-11
R022,House,Halabja,Khurmal,181,3,319465,for_sale,2025-03-13
R023,Shop,Zakho,Mishko,98,0,1728,for_rent,2024-04-20
R024,Office,Halabja,Khurmal,206,0,3996,for_rent,2024-05-31
R025,House,Sulaymaniyah,Tanjaro,318,5,2737,for_rent,2025-05-24
R026,Apartment,Erbil,Empire World,129,3,224460,for_sale,2025-01-13
R027,Office,Erbil,Empire World,252,0,438984,for_sale,2025-07-05
R028,Villa,Zakho,Mishko,281,6,397334,for_sale,2024-07-28
R029,House,Halabja,Bazaar Area,219,4,4334,for_rent,2025-08-16
R030,Office,Zakho,Khabat,239,0,3613,for_rent,2024-02-03
R031,Apartment,Duhok,KRO Road,169,4,1715,for_rent,2025-03-17
R032,Villa,Zakho,City Centre,481,6,814333,for_sale,2025-02-08
R033,Apartment,Duhok,Zawita Road,149,2,185058,for_sale,2024-10-05
R034,Land,Erbil,Ankawa,926,0,725984,for_sale,2025-08-24
R035,House,Sulaymaniyah,Bakhtiary,319,4,201289,for_sale,2024-11-07
R036,House,Zakho,Darkar,185,3,274910,for_sale,2024-07-11
R037,Apartment,Halabja,Sirwan,102,3,1101,for_rent,2025-01-26
R038,Villa,Sulaymaniyah,Raparin,375,4,6183,for_rent,2024-02-24
R039,Villa,Halabja,Khurmal,295,7,6333,for_rent,2024-02-12
R040,House,Sulaymaniyah,Raparin,284,3,307572,for_sale,2025-12-26
R041,Land,Erbil,North Ring Road,2862,0,1969056,for_sale,2025-11-17
R042,Office,Erbil,Koya Road,164,0,2368,for_rent,2024-04-26
R043,Land,Erbil,Koya Road,3863,0,9193940,for_sale,2025-07-24
R044,Office,Sulaymaniyah,Tasluja,83,0,1179,for_rent,2024-11-20
R045,House,Sulaymaniyah,Italian Village,209,4,4014,for_rent,2025-06-19
R046,Villa,Zakho,Mishko,539,5,13377,for_rent,2024-05-27
R047,Villa,Erbil,Ankawa,493,6,853383,for_sale,2025-11-01
R048,Shop,Sulaymaniyah,Raparin,96,0,1689,for_rent,2025-09-21
R049,Villa,Duhok,Bajel,577,5,1374991,for_sale,2024-07-07
R050,Office,Zakho,Rizgary,106,0,1780,for_rent,2025-02-04
R051,Shop,Halabja,Memorial District,101,0,2002,for_rent,2024-07-05
R052,Apartment,Erbil,Gulan Street,70,3,1201,for_rent,2024-01-05
R053,House,Zakho,Mahabad,166,2,2380,for_rent,2025-09-22
R054,Apartment,Halabja,New Halabja,87,1,166605,for_sale,2024-04-18
R055,Villa,Erbil,Erbil Tower,499,7,10848,for_rent,2024-11-30
R056,Apartment,Duhok,Zawita Road,89,1,82325,for_sale,2024-07-04
R057,House,Sulaymaniyah,Malik Mahmood,239,3,2593,for_rent,2024-06-13
R058,Villa,Erbil,Ainkawa,405,7,3345,for_rent,2025-08-16
R059,Shop,Sulaymaniyah,Sarchinar,104,0,2382,for_rent,2024-03-17
R060,Office,Duhok,Bajel,298,0,6132,for_rent,2025-12-28
R061,House,Sulaymaniyah,Azadi,270,5,4576,for_rent,2025-11-10
R062,Land,Duhok,Malta,2596,0,58773,for_rent,2024-02-23
R063,Office,Zakho,Bekhma Road,291,0,1850,for_rent,2025-01-18
R064,Land,Halabja,New Halabja,1990,0,10049,for_rent,2024-06-18
R065,House,Zakho,City Centre,267,5,5922,for_rent,2025-12-10
R066,Villa,Zakho,Kashan,610,4,1257820,for_sale,2024-12-04
R067,Land,Erbil,Gulan Street,1670,0,1210750,for_sale,2024-08-17
R068,Apartment,Halabja,Memorial District,92,4,918,for_rent,2024-04-08
R069,Shop,Duhok,Gir Area,110,0,2059,for_rent,2024-05-14
R070,House,Halabja,Khurmal,283,4,4720,for_rent,2025-10-04
R071,Land,Halabja,Memorial District,1723,0,4192059,for_sale,2025-10-22
R072,Land,Halabja,Sirwan,3083,0,20409,for_rent,2024-01-08
R073,Land,Halabja,Khurmal,3033,0,61994,for_rent,2025-04-13
R074,Apartment,Sulaymaniyah,Salim Street,85,4,97240,for_sale,2024-10-15
R075,Shop,Duhok,Industrial Zone,109,0,2552,for_rent,2024-03-04
R076,Land,Erbil,Empire World,1151,0,27221,for_rent,2025-01-01
R077,Land,Halabja,Kani Ashqan,967,0,1821828,for_sale,2024-10-28
R078,Shop,Erbil,Erbil Tower,71,0,156626,for_sale,2025-07-14
R079,Villa,Zakho,Mahabad,418,4,600666,for_sale,2025-04-03
R080,Apartment,Zakho,Khabat,177,1,3012,for_rent,2024-04-25
R081,House,Sulaymaniyah,Italian Village,183,4,2931,for_rent,2025-05-11
R082,Land,Zakho,Mahabad,2003,0,4366540,for_sale,2025-02-01
R083,Land,Halabja,Kani Ashqan,3930,0,8811060,for_sale,2025-10-22
R084,Office,Sulaymaniyah,Bakhtiary,85,0,104125,for_sale,2025-11-04
R085,Apartment,Sulaymaniyah,Sarchinar,149,4,1370,for_rent,2025-09-07
R086,Villa,Duhok,Bajel,427,6,425719,for_sale,2025-04-29
R087,Office,Halabja,Sarchnar,344,0,256280,for_sale,2024-08-27
R088,Shop,Zakho,New Zakho,55,0,539,for_rent,2024-10-09
R089,Land,Erbil,Erbil Tower,892,0,13647,for_rent,2025-09-08
R090,Villa,Zakho,City Centre,631,4,538243,for_sale,2025-06-03
R091,Villa,Sulaymaniyah,Tanjaro,406,6,6309,for_rent,2024-04-10
R092,House,Zakho,New Zakho,261,4,138330,for_sale,2025-06-07
R093,Villa,Duhok,KRO Road,390,5,589680,for_sale,2025-11-23
R094,Villa,Duhok,Shindokha,267,5,405573,for_sale,2024-08-16
R095,House,Sulaymaniyah,Italian Village,199,2,4485,for_rent,2025-09-19
R096,Shop,Zakho,Rizgary,81,0,55809,for_sale,2025-04-07
R097,Land,Erbil,Gulan Street,860,0,1879960,for_sale,2024-10-01
R098,Office,Erbil,Dream City,273,0,5096,for_rent,2025-02-02
R099,Shop,Sulaymaniyah,Raparin,72,0,51408,for_sale,2024-10-04
R100,Shop,Duhok,Nizarke,33,0,71907,for_sale,2024-03-25
R101,House,Halabja,Central Park,291,3,3209,for_rent,2024-05-30
R102,House,Erbil,Empire World,218,5,362970,for_sale,2025-08-23
R103,House,Erbil,Empire World,223,5,3329,for_rent,2025-06-13
R104,House,Erbil,Ankawa,180,5,4086,for_rent,2025-07-27
R105,Villa,Halabja,Khurmal,378,5,915894,for_sale,2024-04-10
R106,Office,Sulaymaniyah,Raparin,335,0,589600,for_sale,2025-05-14
R107,Office,Zakho,Khabat,142,0,118428,for_sale,2024-04-28
R108,House,Sulaymaniyah,Italian Village,192,3,2826,for_rent,2024-07-03
R109,Office,Sulaymaniyah,Raparin,232,0,2800,for_rent,2025-05-03
R110,Land,Erbil,Erbil Tower,2740,0,66335,for_rent,2024-08-02
R111,House,Sulaymaniyah,Malik Mahmood,140,4,347900,for_sale,2024-08-19
R112,Apartment,Sulaymaniyah,Bakhtiary,137,1,324279,for_sale,2025-09-08
R113,House,Halabja,New Halabja,170,3,228310,for_sale,2024-07-13
R114,Land,Sulaymaniyah,Raparin,1070,0,9630,for_rent,2024-10-17
R115,Land,Halabja,Bazaar Area,2861,0,3012633,for_sale,2025-08-01
R116,Villa,Sulaymaniyah,Bakhtiary,325,4,3120,for_rent,2025-01-20
R117,Villa,Sulaymaniyah,Tanjaro,400,5,5932,for_rent,2024-09-01
R118,Land,Halabja,Khurmal,984,0,14907,for_rent,2025-07-06
R119,Office,Halabja,Kani Ashqan,155,0,258075,for_sale,2025-11-05
R120,Office,Sulaymaniyah,Salim Street,228,0,1963,for_rent,2025-03-27
R121,Shop,Zakho,Bekhma Road,48,0,32352,for_sale,2025-08-02
R122,Office,Zakho,City Centre,134,0,3013,for_rent,2024-04-19
R123,Apartment,Halabja,Shahid Area,76,2,471,for_rent,2025-11-12
R124,Villa,Sulaymaniyah,Malik Mahmood,449,4,422509,for_sale,2025-02-24
R125,House,Halabja,Memorial District,201,2,4305,for_rent,2025-05-29
