event_id,event_name,type,city,venue,date,tickets,price_usd,organiser
EV01,Erbil International Book Fair,Cultural,Erbil,Erbil International Fair Ground,2024-04-10,5000,5,KRG Ministry of Culture
EV02,KRG Tech Summit 2024,Conference,Erbil,Divan Hotel Erbil,2024-05-15,800,80,Kurdistan Tech Association
EV03,Sulaymaniyah Music Festival,Music,Sulaymaniyah,Azmar Resort,2024-06-20,3000,20,Sulaymaniyah Events Co.
EV04,Nawroz Celebration — Erbil Citadel,Cultural,Erbil,Erbil Citadel Grounds,2024-03-21,8000,0,KRG Presidency
EV05,Duhok Marathon 2024,Sports,Duhok,Duhok Stadium,2024-04-28,2000,15,Duhok Sports Directorate
EV06,KRG Startup Weekend,Business,Erbil,Empire World Mall,2024-05-03,300,40,StartupKRG
EV07,Halabja Remembrance Day Ceremony,Commemorative,Halabja,Halabja Memorial,2024-03-16,6000,0,KRG Government
EV08,Zakho Food & Culture Festival,Cultural,Zakho,Zakho Park,2024-07-12,4000,10,Zakho Municipality
EV09,KRG Data Science Bootcamp,Education,Erbil,UKH Campus,2024-06-01,150,60,Kurdistan Data Institute
EV10,Erbil International Film Festival,Cultural,Erbil,Rotana Hotel,2024-08-15,1200,35,KRG Media Commission
EV011,Halabja Startup Fair 2026,Music,Halabja,Sirwan Park,2025-09-13,7501,60,Sulaymaniyah Events Co.
EV012,Sulaymaniyah Innovation Festival 2024,Technology,Sulaymaniyah,Bakhtiary Arena,2024-11-04,4276,80,KRG Government
EV013,Zakho Book Camp 2025,Education,Zakho,University of Zakho Hall,2026-02-23,3467,15,Zakho Municipality
EV014,Erbil Book Expo 2026,Conference,Erbil,Rotana Hotel,2024-08-30,7698,0,Kurdistan Data Institute
EV015,Zakho Health Camp 2024,Conference,Zakho,Zakho Park,2026-12-17,1899,40,KRG Ministry of Culture
EV016,Sulaymaniyah Health Festival 2025,Technology,Sulaymaniyah,Slemani Expo Center,2025-11-01,2771,20,Sulaymaniyah Events Co.
EV017,Halabja Health Meetup 2026,Conference,Halabja,Sirwan Park,2025-11-05,4037,100,UKH
EV018,Halabja Education Camp 2024,Business,Halabja,Sirwan Park,2024-11-28,10512,80,SPU
EV019,Zakho Heritage Conference 2025,Music,Zakho,University of Zakho Hall,2025-12-09,3422,60,UoS
EV020,Halabja Book Summit 2026,Technology,Halabja,Halabja Memorial,2024-07-02,4726,50,Sulaymaniyah Events Co.
EV021,Halabja Business Fair 2024,Music,Halabja,Halabja Cultural Hall,2026-01-21,11196,60,UKH
EV022,Halabja Film Week 2025,Commemorative,Halabja,Sirwan Park,2024-01-18,6317,35,KRG Ministry of Culture
EV023,Erbil Health Camp 2026,Conference,Erbil,Rotana Hotel,2026-12-13,6633,25,Kurdistan Tech Association
EV024,Erbil Innovation Expo 2024,Education,Erbil,Rotana Hotel,2026-01-15,6161,50,Kurdistan Tech Association
EV025,Halabja Innovation Week 2025,Cultural,Halabja,Halabja Youth Center,2024-03-01,5924,35,UoS
EV026,Zakho Culture Festival 2026,Technology,Zakho,Zakho Stadium,2026-06-12,390,0,Kurdistan Data Institute
EV027,Duhok Film Forum 2024,Sports,Duhok,Duhok Stadium,2026-05-20,4124,100,KRG Media Commission
EV028,Halabja Startup Bootcamp 2025,Sports,Halabja,Halabja Cultural Hall,2025-05-14,7012,60,UKH
EV029,Erbil Book Meetup 2026,Cultural,Erbil,AUK Auditorium,2026-12-15,7520,10,UoS
EV030,Erbil Science Week 2024,Government,Erbil,Empire World Mall,2024-01-14,11374,80,SPU
EV031,Halabja Health Camp 2025,Conference,Halabja,Halabja Memorial,2026-05-08,9005,0,KRG Ministry of Culture
EV032,Duhok Culture Festival 2026,Technology,Duhok,Duhok Cultural Center,2025-02-11,5514,40,UZakho
EV033,Erbil Book Expo 2024,Cultural,Erbil,Rotana Hotel,2026-11-07,7472,5,Zakho Municipality
EV034,Erbil Innovation Forum 2025,Music,Erbil,Rotana Hotel,2025-11-01,10920,25,KRG Ministry of Culture
EV035,Erbil Startup Bootcamp 2026,Health,Erbil,Erbil International Fair Ground,2024-04-26,10789,25,UZakho
EV036,Sulaymaniyah Book Conference 2024,Government,Sulaymaniyah,Slemani Expo Center,2025-04-05,2247,25,StartupKRG
EV037,Duhok Business Conference 2025,Sports,Duhok,Duhok Expo,2024-12-16,11344,15,Sulaymaniyah Events Co.
EV038,Erbil Heritage Expo 2026,Music,Erbil,Erbil International Fair Ground,2024-10-15,5523,50,AUK
EV039,Sulaymaniyah Innovation Expo 2024,Sports,Sulaymaniyah,Goizha Convention Center,2024-05-29,4013,10,Sulaymaniyah Events Co.
EV040,Zakho Book Forum 2025,Commemorative,Zakho,New Zakho Hall,2026-09-17,10831,20,Duhok Sports Directorate
EV041,Zakho Innovation Meetup 2026,Sports,Zakho,Zakho Park,2024-09-04,602,100,Zakho Municipality
EV042,Halabja Film Fair 2024,Cultural,Halabja,Halabja Youth Center,2026-02-18,7972,50,Duhok Sports Directorate
EV043,Duhok Business Conference 2025,Sports,Duhok,AUK Campus,2025-05-11,5844,80,SPU
EV044,Zakho Heritage Expo 2026,Health,Zakho,University of Zakho Hall,2024-03-21,1243,80,Kurdistan Tech Association
EV045,Halabja Business Expo 2024,Cultural,Halabja,Halabja Youth Center,2024-06-20,3452,35,KRG Presidency
EV046,Zakho Innovation Week 2025,Education,Zakho,Zakho Park,2025-10-02,1085,15,KRG Presidency
EV047,Duhok Science Week 2026,Conference,Duhok,AUK Campus,2026-09-07,9215,20,UoS
EV048,Duhok Business Week 2024,Technology,Duhok,AUK Campus,2025-12-20,4050,0,KRG Presidency
EV049,Duhok Health Forum 2025,Music,Duhok,AUK Campus,2026-06-21,3971,10,UZakho
EV050,Sulaymaniyah Book Meetup 2026,Commemorative,Sulaymaniyah,Slemani Expo Center,2026-07-11,2311,80,Kurdistan Data Institute
EV051,Zakho Culture Summit 2024,Cultural,Zakho,New Zakho Hall,2024-01-29,366,60,UKH
EV052,Zakho Science Festival 2025,Education,Zakho,Zakho Park,2025-01-16,9415,15,KRG Media Commission
